"year","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpop18plus","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2023","01969","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.6",,,"10.3","12.8","4958","6161","POINT (-70.8866372 42.7214946)","01969","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02054","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"10.0","12.5","6720","8460","POINT (-71.3637564 42.1731025)","02054","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02114","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.4",,,"9.3","11.6","13464","14469","POINT (-71.0668878 42.3636506)","02114","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02056","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.5",,,"9.3","11.7","9099","11662","POINT (-71.3292739 42.1162441)","02056","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01915","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.8","13.3","34832","42341","POINT (-70.867693 42.5704419)","01915","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01970","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.8","13.3","37294","44451","POINT (-70.8680167 42.5292476)","01970","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02126","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","14.0",,,"12.7","15.5","17530","22734","POINT (-71.0899681 42.2774364)","02126","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02115","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.9","13.5","30248","31604","POINT (-71.0945311 42.3394223)","02115","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02061","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.3",,,"10.0","12.6","8275","11351","POINT (-70.8188439 42.1645688)","02061","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02151","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.4",,,"10.3","12.6","49581","62252","POINT (-71.0012511 42.4182902)","02151","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01982","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.4",,,"10.2","12.6","5730","7618","POINT (-70.8572297 42.6262226)","01982","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","02116","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.7",,,"9.7","11.9","21738","23408","POINT (-71.0765907 42.3509789)","02116","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01983","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.1",,,"9.9","12.3","5026","6569","POINT (-70.9433833 42.641387)","01983","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
